     Input  Canonical    Reduced
--------------------------------
    G???F{     G???F{     G???F{ -_-R- [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]
    G??CFw     G??CB{     G??CB{ -C-R- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]
    G??CF{     G???N{      F??Fw -C-_- [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G??E@{     G??E@{     G??E@{ -_-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 7), (5, 7), (6, 7)]
    G??EDw     G?A?Js     G?A?Js -C-R- [(0, 5), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (6, 7)]
    G??ED{     G??CJ{     G??CJ{ -C-R- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G??EFw     G??GVk     G??GVk -C-R- [(0, 7), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    G??EF{     G???^{     G???^{ -C-R- [(0, 7), (1, 7), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G??F?{     G??F?{     G??F?{ -_-R- [(0, 6), (1, 6), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    G??FCw     G??EHw     G??EHw -C-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7)]
    G??FC{     G??EH{     G??EH{ -C-R- [(0, 6), (1, 6), (2, 7), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    G??FEw     G??CZw     G??CZw -C-R- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G??FE{     G??CZ{     G??CZ{ -C-R- [(0, 6), (1, 7), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
